"행정구역(동읍면)별","항목",2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"범어4동","여자인구수 (명)",9680,159,560,1065,976,547,300,216,604,1238,1377,732,476,383,303,260,215,155,91,22,1,0
"만촌1동","총인구수 (명)",23993,810,1285,1271,1490,1745,1333,960,1634,1829,2221,2097,1980,1619,1188,906,754,549,226,78,16,2
"만촌1동","남자인구수 (명)",11748,410,669,670,792,941,742,478,755,848,1018,1068,954,772,557,410,331,227,81,22,3,0
"만촌1동","여자인구수 (명)",12245,400,616,601,698,804,591,482,879,981,1203,1029,1026,847,631,496,423,322,145,56,13,2
"만촌2동","총인구수 (명)",12499,254,352,534,893,1087,1015,656,701,776,1191,1219,1053,832,645,444,407,276,120,39,4,1
"만촌2동","남자인구수 (명)",6326,141,196,305,519,619,567,356,344,361,568,602,515,385,312,206,179,110,31,9,0,1
"만촌2동","여자인구수 (명)",6173,113,156,229,374,468,448,300,357,415,623,617,538,447,333,238,228,166,89,30,4,0
"만촌3동","총인구수 (명)",18614,271,651,1622,2137,1574,836,482,748,1557,2543,1959,1209,914,663,534,458,273,137,34,9,3
"만촌3동","남자인구수 (명)",9690,153,376,1076,1371,938,474,247,305,570,1181,1044,640,428,323,231,191,91,42,6,1,2
"만촌3동","여자인구수 (명)",8924,118,275,546,766,636,362,235,443,987,1362,915,569,486,340,303,267,182,95,28,8,1
"수성1가동","총인구수 (명)",19223,566,870,1047,1331,1309,989,708,1143,1476,1907,1732,1411,1199,1037,846,755,519,269,84,22,3
"수성1가동","남자인구수 (명)",8993,276,435,524,638,694,525,364,491,682,880,852,684,516,448,345,299,216,94,25,4,1
"수성1가동","여자인구수 (명)",10230,290,435,523,693,615,464,344,652,794,1027,880,727,683,589,501,456,303,175,59,18,2
"수성2.3가동","총인구수 (명)",12576,367,892,986,884,688,547,412,904,1242,1324,932,871,723,585,455,384,224,121,22,8,5
"수성2.3가동","남자인구수 (명)",6096,194,472,503,440,354,289,200,395,570,666,492,421,341,253,203,171,85,40,5,1,1
"수성2.3가동","여자인구수 (명)",6480,173,420,483,444,334,258,212,509,672,658,440,450,382,332,252,213,139,81,17,7,4
"수성4가동","총인구수 (명)",15901,395,578,659,1001,1213,1037,712,943,1010,1437,1583,1414,1176,824,649,582,406,196,61,15,10
"수성4가동","남자인구수 (명)",7500,213,292,305,521,622,535,376,442,445,611,736,683,560,364,287,238,175,71,17,5,2
"수성4가동","여자인구수 (명)",8401,182,286,354,480,591,502,336,501,565,826,847,731,616,460,362,344,231,125,44,10,8
"황금1동","총인구수 (명)",24941,644,1439,2087,2472,1798,1006,740,1401,2198,2978,2417,1726,1405,879,616,491,363,193,66,16,6
"황금1동","남자인구수 (명)",12018,320,742,1044,1305,962,552,363,593,915,1368,1224,859,668,429,268,211,124,55,11,2,3
"황금1동","여자인구수 (명)",12923,324,697,1043,1167,836,454,377,808,1283,1610,1193,867,737,450,348,280,239,138,55,14,3
"황금2동","총인구수 (명)",11592,251,390,411,619,831,981,645,808,800,1065,1006,964,834,641,511,427,249,110,37,12,0
"황금2동","남자인구수 (명)",5596,123,190,215,299,429,480,348,404,366,524,487,483,389,281,227,193,106,40,9,3,0
"황금2동","여자인구수 (명)",5996,128,200,196,320,402,501,297,404,434,541,519,481,445,360,284,234,143,70,28,9,0
"중동","총인구수 (명)",10848,222,300,322,419,616,791,612,723,736,973,931,1036,916,711,531,508,309,150,35,5,2
"중동","남자인구수 (명)",5439,122,171,169,226,316,441,349,371,370,517,467,502,443,323,239,211,136,56,8,2,0
"중동","여자인구수 (명)",5409,100,129,153,193,300,350,263,352,366,456,464,534,473,388,292,297,173,94,27,3,2
"상동","총인구수 (명)",17111,511,681,676,731,1043,1119,912,1247,1247,1437,1390,1531,1404,1033,747,683,404,211,85,13,6
"상동","남자인구수 (명)",8280,272,344,355,382,540,621,463,592,594,717,655,739,659,479,344,315,139,57,9,4,0
"상동","여자인구수 (명)",8831,239,337,321,349,503,498,449,655,653,720,735,792,745,554,403,368,265,154,76,9,6
"파동","총인구수 (명)",14505,585,618,506,596,751,789,806,1098,1015,1074,1097,1286,1251,1018,751,638,369,173,62,16,6
"파동","남자인구수 (명)",7074,300,306,290,315,431,431,418,551,514,528,524,558,584,451,376,291,139,51,14,1,1
"파동","여자인구수 (명)",7431,285,312,216,281,320,358,388,547,501,546,573,728,667,567,375,347,230,122,48,15,5
"두산동","총인구수 (명)",14305,474,538,523,736,1071,1126,876,1082,1094,1296,1451,1248,1009,656,431,334,214,107,28,6,5
"두산동","남자인구수 (명)",7002,257,257,260,374,608,598,445,507,542,597,696,602,477,302,201,152,81,39,5,1,1
"두산동","여자인구수 (명)",7303,217,281,263,362,463,528,431,575,552,699,755,646,532,354,230,182,133,68,23,5,4
"지산1동","총인구수 (명)",23353,546,651,815,1404,1835,1624,1133,1330,1467,2090,2165,2179,1839,1363,1013,920,574,277,110,13,5
"지산1동","남자인구수 (명)",11201,271,332,435,834,986,892,625,638,699,920,995,1033,849,596,435,366,192,80,19,4,0
"지산1동","여자인구수 (명)",12152,275,319,380,570,849,732,508,692,768,1170,1170,1146,990,767,578,554,382,197,91,9,5
"지산2동","총인구수 (명)",20947,509,787,907,1280,1519,1314,1032,1263,1337,1942,1943,1974,1710,1145,752,660,494,281,84,12,2
"지산2동","남자인구수 (명)",9966,265,414,470,660,786,722,534,592,632,834,910,878,798,562,333,287,191,68,26,3,1
"지산2동","여자인구수 (명)",10981,244,373,437,620,733,592,498,671,705,1108,1033,1096,912,583,419,373,303,213,58,9,1
"범물1동","총인구수 (명)",12230,192,249,276,572,812,728,499,579,618,846,1056,1371,1297,984,715,687,445,211,77,12,4
"범물1동","남자인구수 (명)",5602,89,123,137,298,434,383,273,306,322,365,469,635,593,432,299,257,114,53,16,3,1
"범물1동","여자인구수 (명)",6628,103,126,139,274,378,345,226,273,296,481,587,736,704,552,416,430,331,158,61,9,3
"범물2동","총인구수 (명)",16258,469,743,883,1084,1159,915,711,1006,1245,1501,1501,1491,1336,862,521,387,254,137,42,8,3
"범물2동","남자인구수 (명)",7945,236,375,453,581,642,521,390,455,568,682,703,703,647,422,259,183,77,35,9,3,1
"범물2동","여자인구수 (명)",8313,233,368,430,503,517,394,321,551,677,819,798,788,689,440,262,204,177,102,33,5,2
"고산1동","총인구수 (명)",32460,834,1673,2308,2882,2686,1911,1197,1784,2507,3559,3181,2788,1829,1066,728,684,521,228,76,14,4
"고산1동","남자인구수 (명)",15769,443,842,1165,1507,1445,998,635,797,1060,1579,1564,1372,954,522,317,278,204,62,21,3,1
"고산1동","여자인구수 (명)",16691,391,831,1143,1375,1241,913,562,987,1447,1980,1617,1416,875,544,411,406,317,166,55,11,3
"고산2동","총인구수 (명)",27728,832,1259,1569,2054,2157,1662,1213,1662,2053,2784,2606,2348,1885,1173,850,734,537,242,89,14,5
"고산2동","남자인구수 (명)",13793,411,636,840,1144,1247,909,641,769,904,1318,1261,1158,968,563,380,321,210,92,17,2,2
"고산2동","여자인구수 (명)",13935,421,623,729,910,910,753,572,893,1149,1466,1345,1190,917,610,470,413,327,150,72,12,3
"고산3동","총인구수 (명)",35145,1138,1697,2130,2656,2858,2182,1545,2259,2593,3658,3534,2994,1933,1211,841,887,624,305,80,13,7
"고산3동","남자인구수 (명)",17137,592,895,1126,1424,1546,1199,773,1039,1155,1617,1651,1555,986,584,351,308,220,91,18,3,4
"고산3동","여자인구수 (명)",18008,546,802,1004,1232,1312,983,772,1220,1438,2041,1883,1439,947,627,490,579,404,214,62,10,3
