"행정구역(동읍면)별","항목",2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"월계1동","여자인구수 (명)",11365,322,387,379,507,907,723,636,800,816,942,904,942,904,716,563,441,266,124,61,16,9
"월계2동","총인구수 (명)",26256,806,957,991,1301,1631,1440,1305,1908,1971,2266,2128,2257,2277,1714,1243,1018,558,329,108,37,11
"월계2동","남자인구수 (명)",12666,407,484,507,684,880,780,647,954,1012,1135,1036,1071,1000,783,563,435,164,96,18,9,1
"월계2동","여자인구수 (명)",13590,399,473,484,617,751,660,658,954,959,1131,1092,1186,1277,931,680,583,394,233,90,28,10
"월계3동","총인구수 (명)",31994,1333,1346,1134,1273,1783,1978,2267,2871,2382,2572,2381,2571,2610,1853,1396,1150,655,295,110,21,13
"월계3동","남자인구수 (명)",15399,702,696,628,626,890,1008,1099,1473,1224,1258,1133,1167,1134,879,643,480,247,81,26,3,2
"월계3동","여자인구수 (명)",16595,631,650,506,647,893,970,1168,1398,1158,1314,1248,1404,1476,974,753,670,408,214,84,18,11
"공릉1동","총인구수 (명)",38784,1152,1309,1288,1746,3359,3419,2811,3191,2678,3038,2921,3132,2985,2102,1424,1112,656,308,104,35,14
"공릉1동","남자인구수 (명)",19036,601,666,663,878,1683,1762,1409,1654,1388,1530,1392,1462,1400,1002,649,507,270,86,26,7,1
"공릉1동","여자인구수 (명)",19748,551,643,625,868,1676,1657,1402,1537,1290,1508,1529,1670,1585,1100,775,605,386,222,78,28,13
"공릉2동","총인구수 (명)",40742,1436,1814,2195,2679,3640,2942,2478,3065,3180,3819,3217,2998,2533,1636,1203,900,597,276,94,27,13
"공릉2동","남자인구수 (명)",19924,734,940,1122,1361,1719,1588,1216,1495,1499,1850,1619,1442,1215,794,574,392,229,99,24,7,5
"공릉2동","여자인구수 (명)",20818,702,874,1073,1318,1921,1354,1262,1570,1681,1969,1598,1556,1318,842,629,508,368,177,70,20,8
"하계1동","총인구수 (명)",29217,572,757,1336,2562,3223,2159,1426,1495,1728,2872,2667,2484,1973,1248,932,797,579,279,99,21,8
"하계1동","남자인구수 (명)",14149,273,411,719,1479,1751,1164,729,717,756,1305,1279,1175,950,510,375,276,173,72,27,6,2
"하계1동","여자인구수 (명)",15068,299,346,617,1083,1472,995,697,778,972,1567,1388,1309,1023,738,557,521,406,207,72,15,6
"하계2동","총인구수 (명)",23539,669,990,1442,1708,1779,1529,1236,1446,1865,2515,2106,1968,1365,882,740,587,427,203,59,19,4
"하계2동","남자인구수 (명)",11256,358,485,706,916,900,775,609,652,847,1202,1011,963,670,376,315,249,134,70,14,3,1
"하계2동","여자인구수 (명)",12283,311,505,736,792,879,754,627,794,1018,1313,1095,1005,695,506,425,338,293,133,45,16,3
"중계본동","총인구수 (명)",26331,435,1250,2094,2609,2112,1504,851,1179,2131,3344,2719,2075,1461,752,631,516,402,174,60,20,12
"중계본동","남자인구수 (명)",12928,222,660,1072,1312,1117,788,428,519,875,1569,1387,1125,774,386,263,204,149,55,14,6,3
"중계본동","여자인구수 (명)",13403,213,590,1022,1297,995,716,423,660,1256,1775,1332,950,687,366,368,312,253,119,46,14,9
"중계1동","총인구수 (명)",28097,450,1555,2904,3099,1932,1287,758,1320,2600,4252,2711,1842,1176,671,523,483,314,153,45,10,12
"중계1동","남자인구수 (명)",13729,244,846,1551,1618,1026,657,345,506,1043,2019,1447,938,604,331,213,186,94,44,11,3,3
"중계1동","여자인구수 (명)",14368,206,709,1353,1481,906,630,413,814,1557,2233,1264,904,572,340,310,297,220,109,34,7,9
"중계4동","총인구수 (명)",21464,540,770,1013,1559,1524,1187,916,1259,1594,2251,1947,1723,1464,1134,1011,762,476,234,69,20,11
"중계4동","남자인구수 (명)",10448,281,368,572,866,803,643,480,602,780,1047,1010,830,703,500,387,319,179,58,13,6,1
"중계4동","여자인구수 (명)",11016,259,402,441,693,721,544,436,657,814,1204,937,893,761,634,624,443,297,176,56,14,10
"중계2.3동","총인구수 (명)",37125,1112,1373,1504,2133,2452,2128,2015,2687,2861,3548,2990,2829,2728,1931,1732,1496,961,453,143,36,13
"중계2.3동","남자인구수 (명)",17293,568,706,755,1022,1269,1075,991,1324,1433,1685,1436,1341,1212,824,653,528,296,131,35,6,3
"중계2.3동","여자인구수 (명)",19832,544,667,749,1111,1183,1053,1024,1363,1428,1863,1554,1488,1516,1107,1079,968,665,322,108,30,10
"상계1동","총인구수 (명)",40408,1219,1421,1574,2117,2881,2799,2412,2920,2627,3534,3508,3762,3345,2090,1504,1269,815,361,154,43,53
"상계1동","남자인구수 (명)",19703,628,742,809,1114,1493,1432,1218,1437,1285,1656,1663,1778,1622,1056,690,577,300,127,30,10,36
"상계1동","여자인구수 (명)",20705,591,679,765,1003,1388,1367,1194,1483,1342,1878,1845,1984,1723,1034,814,692,515,234,124,33,17
"상계2동","총인구수 (명)",21280,493,626,779,1289,1752,1761,1177,1314,1369,1993,2016,2027,1633,1029,758,629,380,165,56,21,13
"상계2동","남자인구수 (명)",10513,260,311,388,677,861,912,579,689,673,962,975,1031,770,539,377,282,149,54,14,4,6
"상계2동","여자인구수 (명)",10767,233,315,391,612,891,849,598,625,696,1031,1041,996,863,490,381,347,231,111,42,17,7
"상계3.4동","총인구수 (명)",26065,513,808,888,1269,1643,1550,1203,1575,1673,2319,2294,2441,2311,1695,1394,1310,734,286,95,38,26
"상계3.4동","남자인구수 (명)",12997,251,426,474,703,880,831,660,855,839,1178,1148,1222,1125,790,648,534,300,95,23,8,7
"상계3.4동","여자인구수 (명)",13068,262,382,414,566,763,719,543,720,834,1141,1146,1219,1186,905,746,776,434,191,72,30,19
"상계5동","총인구수 (명)",25779,522,755,924,1427,1831,1828,1344,1545,1679,2401,2399,2367,2015,1478,1210,1012,593,282,103,35,29
"상계5동","남자인구수 (명)",12580,269,387,457,731,947,962,709,838,859,1142,1167,1144,960,696,545,422,210,94,28,9,4
"상계5동","여자인구수 (명)",13199,253,368,467,696,884,866,635,707,820,1259,1232,1223,1055,782,665,590,383,188,75,26,25
"상계6.7동","총인구수 (명)",34878,1390,1503,1572,1893,2340,2403,2353,2926,2737,3358,2959,2739,2258,1447,1046,887,594,325,115,29,4
"상계6.7동","남자인구수 (명)",16271,711,774,818,929,1163,1182,1104,1367,1238,1542,1379,1253,993,696,438,374,198,80,23,9,0
"상계6.7동","여자인구수 (명)",18607,679,729,754,964,1177,1221,1249,1559,1499,1816,1580,1486,1265,751,608,513,396,245,92,20,4
"상계8동","총인구수 (명)",24149,1586,1233,1104,1311,1243,1430,2392,2837,2058,2115,1650,1370,1258,854,649,480,340,164,54,17,4
"상계8동","남자인구수 (명)",11653,809,624,567,646,654,683,1159,1433,1023,1038,794,633,544,385,296,185,115,49,9,7,0
"상계8동","여자인구수 (명)",12496,777,609,537,665,589,747,1233,1404,1035,1077,856,737,714,469,353,295,225,115,45,10,4
"상계9동","총인구수 (명)",22033,748,892,1020,1415,1487,1273,1342,1725,1684,2116,1979,1691,1623,1021,740,584,392,208,72,18,3
"상계9동","남자인구수 (명)",10548,388,446,545,763,805,636,690,832,779,951,954,762,726,492,328,247,124,56,21,3,0
"상계9동","여자인구수 (명)",11485,360,446,475,652,682,637,652,893,905,1165,1025,929,897,529,412,337,268,152,51,15,3
"상계10동","총인구수 (명)",16720,570,534,640,935,1241,1202,1280,1361,1169,1609,1559,1326,1222,721,484,362,294,149,48,10,4
"상계10동","남자인구수 (명)",7729,280,282,309,462,608,566,622,655,534,691,732,591,522,364,220,140,91,41,14,3,2
"상계10동","여자인구수 (명)",8991,290,252,331,473,633,636,658,706,635,918,827,735,700,357,264,222,203,108,34,7,2
